Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,Commerce,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,BTP / Extraction,Maroc

SKILLZ recrutement,DESSINATEUR PROJETEUR EN CHARPENTE METALLIQUE CASABLANCA,https://www.m-job.ma/offres-emploi/114755-dessinateur-projeteur-en-charpente-metallique-casablanca-casablanca,"Vous êtes titulaire d'un Bac+2/Bac+3 de type dessinateur projeteur du bâtiment ou équivalent. Vous justifiez d'une première expérience (min 1 ans) sur des projets de construction métallique. Vous maîtrisez TEKLA, Revit, Autocad Vous êtes autonome, rigoureux, vous cherchez à developper vos compétences.",Arabe / Français,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Architecture / Urbanisme / Environnement / BTP / Extraction / Immobilier / Télécoms / Réseaux,"Dans le cadre de renforcement de notre équipe d'étude, nous recrutons des dessinateurs(trices) projeteurs(es) en BTP et Charpente métallique: Modéliser les structures à partir des plans architecte et de la note de calcul (et faires des calcules simples en cas de besoin) Editer les plans d'ensemble Préparer le dossier de fabrication et de pose Contrôler la conformité des documents par rapport au cahier des charges",Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans),BAC+2 / BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,BTP / Extraction,Casablanca

NMS PROPERTIES,Directeur Exécutif,https://www.m-job.ma/offres-emploi/113905-directeur-executif-casablanca,.,L'offre a été publiée il y a 3 mois avant sur le site.,"Nous sommes une société britannique de promotion immobilière, nous recherchons un Directeur Exécutif pour sa succursale au Maroc, Casablanca, avec les compétences suivantes :",CDI,BTP / Extraction,"Gérer un groupe d'équipes de travail sur divers projets. Rédiger des rapports techniques liés à la performance du département. Organiser les appels d'offres et choisir les constructeurs et les finisseurs dans tous ses domaines. Suivi et évaluation de la performance des entrepreneurs en finitions. Maîtrise de la langue française, maîtrise élevée et maîtrise de l'une des deux langues (arabe ou anglais), Et capacité à rédiger des courriers et courriers liés au travail. Un diplôme universitaire en administration des affaires ou au moins 7 ans d'expérience en gestion de développement immobilier. Merci d'envoyer votre CV",Senior (de 5 à 7 ans),Français,non défini,L'offre a été publiée il y a 3 mois avant sur le site.,BTP / Extraction,Casablanca

TAESSIS,Technicien en génie civil,https://www.m-job.ma/offres-emploi/113734-technicien-en-genie-civil-agadir,Technicien en génie civil,Français,Entreprise spécialisée en construction cherche un technicien débutant ou avec une première exèrience en génie civil. Le poste sera basé à Agadir ou à Marrakech,CDI,BTP / Extraction,Technicien en génie civil,Débutant (de 1 à 3 ans),BAC+2,A négocier,L'offre a été publiée il y a 4 mois avant sur le site.,BTP / Extraction,Agadir

TAESSIS,Secrétaire de direction,https://www.m-job.ma/offres-emploi/113733-secretaire-de-direction-14-marrakech,Secrétaire de direction,Français,Entreprise spécialisée en construction cherche une secrétaire de direction. Le poste est basé à Marrakech,CDI,BTP / Extraction,Secrétaire de direction,Débutant (de 1 à 3 ans),BAC+2,A négocier,L'offre a été publiée il y a 4 mois avant sur le site.,BTP / Extraction,Marrakech

ACHGHAL SERVICES,Technicien suivi des Travaux de Rénovation,https://www.m-job.ma/offres-emploi/113376-technicien-suivi-des-travaux-de-renovation-casablanca,- Assurer l'exécution des travaux d'aménagements & rénovations - Assurer la réception des matiéres dans les chantiers - Établir des visites des chantiers en cours - Rechercher de nouveaux prospects,Arabe,"La société ACHGHAL SERVICES, est un pionner dans les domaines des travaux, au Maroc. Spécialiste dans les domaines de l’aménagement et de la rénovation. Un acteur de qualité, ayant le savoir-faire et la compétence de concrétiser vos différentes conceptions, besoins et imaginations. Nous réunissons un ensemble sans équivalent de compétences dans les métiers de l’aménagement, tant en constructions neuves qu’en rénovation des édifices dans T.C.E (Rénovation intérieure, Menuiseries (alu, bois, pvc), Climatisation, Electricité, Plomberie, Peinture, Plafond - Cloison - Plâtre, Sols intérieurs, Maçonnerie). Notre savoir-faire nous permet de réaliser tous types de travaux avec beaucoup de qualité et conformément aux normes en vigueur. Nos travaux, reflète la qualité des synergies de ce savoir-faire qui reste polyvalent et multidisciplinaire. Chose qui nous permet d’intervenir avec plus d’efficacité et de répondre activement aux attentes de nos clients.",CDI,BTP / Extraction,Technicien Bâtiment,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 5 mois avant sur le site.,BTP / Extraction,Casablanca

ACHGHAL SERVICES,Technicien Travaux d'aménagement,https://www.m-job.ma/offres-emploi/113257-technicien-travaux-damenagement-casablanca,- Assurer l'exécution des travaux d'aménagements - Assurer la réception des matiéres dans les chantiers - Établir des visites des lieux - Rechercher de nouveaux prospects,Français,"La société ACHGHAL SERVICES, est un pionner dans les domaines des travaux, au Maroc. Spécialiste dans les domaines de l’aménagement et de la rénovation. Un acteur de qualité, ayant le savoir-faire et la compétence de concrétiser vos différentes conceptions, besoins et imaginations. Nous réunissons un ensemble sans équivalent de compétences dans les métiers de l’aménagement, tant en constructions neuves qu’en rénovation des édifices dans T.C.E (Rénovation intérieure, Menuiseries (alu, bois, pvc), Climatisation, Electricité, Plomberie, Peinture, Plafond - Cloison - Plâtre, Sols intérieurs, Maçonnerie). Notre savoir-faire nous permet de réaliser tous types de travaux avec beaucoup de qualité et conformément aux normes en vigueur. Nos travaux, reflète la qualité des synergies de ce savoir-faire qui reste polyvalent et multidisciplinaire. Chose qui nous permet d’intervenir avec plus d’efficacité et de répondre activement aux attentes de nos clients.",Lettre d'Engagement,BTP / Extraction,Technicien spécialisé en BTP,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 5 mois avant sur le site.,BTP / Extraction,Casablanca

GTMI,Offre d'emploi poste technicien en génie de l'eau,https://www.m-job.ma/offres-emploi/113171-offre-demploi-poste-technicien-en-genie-de-leau-casablanca,Technicien en génie de l'eau ayant une expérience dans le domaine,Arabe / Français,Nous recherchons un technicien en génie de l'eau ayant une expérience de 10 ans de le domaine.,CDI,BTP / Extraction,Technicien en génie de l'eau,Confirmé (de 7 à 10 ans),BAC+2,A négocier,L'offre a été publiée il y a 5 mois avant sur le site.,BTP / Extraction,Casablanca

BELACCESS Filiale MGM,Assistante commerciale et administrative,https://www.m-job.ma/offres-emploi/115114-assistante-commerciale-et-administrative-2-casablanca,Assurer le traitement de chaque vente et commande jusqu’à la facture et la livraison Répondre à toutes les demandes internes et externes liées aux documents en cours Prendre rendez-vous et gérer les plans de vente Mettre à jour la base de données clients faire des offres commerciales aux clients. Accueil téléphonique et physique réalisation des objectifs commercaile,Français,"Société spécialisée vente accessoires de batiment et vitrage cherche une assistante comerciale et administrative sur la ville de casablanca. Société privé Sarl basée sur casablanca, cherche une assistante administrative et commerciale. la mission est la suivante : Assurer le traitement de chaque vente et commande jusqu’à la facture et la livraison Répondre à toutes les demandes internes et externes liées aux documents en cours Prendre rendez-vous et gérer les plans de vente Mettre à jour la base de données clients faire des offres commerciales aux clients. Accueil téléphonique et physique réalisation des objectifs commercaile",CDI,Commerce / Distribution / Vente / Import-export,Assistante commerciale et administrative,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 3 jours avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

TECHMAC,Assistant(e) commercial,https://www.m-job.ma/offres-emploi/115112-assistante-commercial-4-tanger,"Nous sommes à la recherche d'un(e) assistant(e) commercial(e) de formation bac+2/3 en commerce, qui maitrise la langue française et Anglais, ainsi qu’il/elle possède d’une facilité de communication et une bonne compréhension technique, rigueur, organisation, autonomie, sens commercial.",Arabe / Français / Anglais,Distributeur d'équipements industrielles,CDI,Commerce / Distribution / Vente / Import-export,"Il/elle prendra en charge La préparation des devis client et leur suivie. Suivie développement des nouveaux prospects. La gestion et suivis des commandes clients. La gestion des réclamations clients. Répondre à toutes les demandes relatives aux commandes en cours. Suivie des commandes fournisseur. Si vous êtes intéressé et doté d'une expérience minimale entre 2 et 3 ans, merci de vous postuler à cette offre. Merci de noter que le poste est basé sur Tanger. Domaine : Commercial / Vente Fonction : Assistant(e) commercial Entreprise : Distributeur (Secteur d’automobile) Salaire : A discuter Niveau d'études : Bac plus 2/3 Expérience précédente dans le domaine de l'industrie sera un avantage.",Junior (de 3 à 5 ans),BAC+2,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 jours avant sur le site.,Commerce / Distribution / Vente / Import-export,Tanger

Manzil Services,Recrutement– Commercial Anglophone (H/F) À Skhirate,https://www.m-job.ma/offres-emploi/115085-recrutement-commercial-anglophone-hf-a-skhirate-skhirate,"Nous Recrutons Pour Le Compte De Notre Client Spécialiste Dans Le Domaine Du Béton Prêt À L’emploi Un Commercial Anglophone, Avec Un Diplôme En Commerce Ou Équivalant Et Une Expérience Dans Le Domaine De 3 Ans Minimum, Le Poste Basé À Sekhirat. Missions : Maitrise Les Langues Anglais – Français. Présenter Et Vendre Les Produits De La Société Aux Clients Potentiels Et Aux Clients. Assurer Le Suivi Des Nouvelles Pistes Et Des Références Résultant De L’activité Sur Le Terrain. Développer Et Maintenir La Connaissance Des Produits De Vente De L’entreprise. Rechercher Régulièrement Des Prospects, Des Clients Pour L’entreprise Et Maintenir Des Relations Étroites Avec Les Clients À Tout Moment. Veiller À Ce Que Tous Les Documents Restent Confidentiels Et Soient Correctement Mis En Place. Fournir Un Plan Stratégique Pour Rivaliser Avec Les Concurrents. Elaborer Avec Le Directeur Général Des Révisions Possibles Des Produits Et Services De L’entreprise Et Communiquer Aux Clients Tous Les Changements Nécessaires Qui Sont Imposés. Etablir Une Analyse Des Pertes Et Profits, Un Plan De Couverture Et Des Objectifs De Vente Pour Chaque Mois. Préparer Des Plans D’action Et Des Calendriers Pour Identifier Les Objectifs Spécifiques Et Prévoir Le Nombre De Contacts À Établir. S’assurer Que Le Service Est Bien Tenu Et Que Les Dossiers Sont Bien Gérés. Effectuer D’autres Tâches Connexes Qui Peuvent Être Assignées Par Le Directeur Général. Rapporter Les Observations D’accidents Évités De Justesse Et Enquêter Sur Les Incidents. S’assurer Que Les Préoccupations Liées À L’environnement, À La Santé Et À La Sécurité Sont Respectées. Prendre L’habitude D’éteindre Les Ordinateurs, Les Lumières Et Les Équipements En Fin De Journée Pour Économiser L’énergie. Approuver Et Émettre Des Devis Et Finaliser Les Contrats Avec Les Clients Conformément Aux Directives Et Procédures Imposées Par La Direction. Gérer L’ensemble Des Questions Relatives Aux Ventes, Telles Que L’activité Des Concurrents, Les Prix, Les Plaintes Des Clients, Etc. Suivre De Près Les Performances Des Ventes Et Superviser Directement Le Personnel De Vente. Rémunération : Salaire Mensuelle 5000 Dhs + Commission.",Anglais,"Manzil Services agence spécialiste dans le domaine de sourcing en ressources humaines et en recrutement, on intervient sur tous les domaines et secteurs d'activité.",CDD,Commerce / Distribution / Vente / Import-export,"Nous Recrutons Pour Le Compte De Notre Client Spécialiste Dans Le Domaine Du Béton Prêt À L’emploi Un Commercial Anglophone, Avec Un Diplôme En Commerce Ou Équivalant Et Une Expérience Dans Le Domaine De 3 Ans Minimum, Le Poste Basé À Sekhirat. Missions : Maitrise Les Langues Anglais – Français. Présenter Et Vendre Les Produits De La Société Aux Clients Potentiels Et Aux Clients. Assurer Le Suivi Des Nouvelles Pistes Et Des Références Résultant De L’activité Sur Le Terrain. Développer Et Maintenir La Connaissance Des Produits De Vente De L’entreprise. Rechercher Régulièrement Des Prospects, Des Clients Pour L’entreprise Et Maintenir Des Relations Étroites Avec Les Clients À Tout Moment. Veiller À Ce Que Tous Les Documents Restent Confidentiels Et Soient Correctement Mis En Place. Fournir Un Plan Stratégique Pour Rivaliser Avec Les Concurrents. Elaborer Avec Le Directeur Général Des Révisions Possibles Des Produits Et Services De L’entreprise Et Communiquer Aux Clients Tous Les Changements Nécessaires Qui Sont Imposés. Etablir Une Analyse Des Pertes Et Profits, Un Plan De Couverture Et Des Objectifs De Vente Pour Chaque Mois. Préparer Des Plans D’action Et Des Calendriers Pour Identifier Les Objectifs Spécifiques Et Prévoir Le Nombre De Contacts À Établir. S’assurer Que Le Service Est Bien Tenu Et Que Les Dossiers Sont Bien Gérés. Effectuer D’autres Tâches Connexes Qui Peuvent Être Assignées Par Le Directeur Général. Rapporter Les Observations D’accidents Évités De Justesse Et Enquêter Sur Les Incidents. S’assurer Que Les Préoccupations Liées À L’environnement, À La Santé Et À La Sécurité Sont Respectées. Prendre L’habitude D’éteindre Les Ordinateurs, Les Lumières Et Les Équipements En Fin De Journée Pour Économiser L’énergie. Approuver Et Émettre Des Devis Et Finaliser Les Contrats Avec Les Clients Conformément Aux Directives Et Procédures Imposées Par La Direction. Gérer L’ensemble Des Questions Relatives Aux Ventes, Telles Que L’activité Des Concurrents, Les Prix, Les Plaintes Des Clients, Etc. Suivre De Près Les Performances Des Ventes Et Superviser Directement Le Personnel De Vente. Rémunération : Salaire Mensuelle 5000 Dhs + Commission.",Senior (de 5 à 7 ans),BAC+4,de 4000 dh à 6000 dh,L'offre a été publiée il y a 5 jours avant sur le site.,Commerce / Distribution / Vente / Import-export,Skhirate

TOP CLASS ESPRESSO,Commercial terrain (b to b),https://www.m-job.ma/offres-emploi/115042-commercial-terrain-b-to-b-casablanca,"Bac + 4 en commerce et/ou gestion Justifier d'une expérience commerciale d'au moins 5 ans dans un poste similaire. Doté d'un fort tempérament commercial, la réalisation des objectifs et la satisfaction des clients constituent les fondements majeurs de votre motivation. Dynamique, autonome, entrepreneur et motivé ; Bon sens du relationnel, une forte force de persuasion et sait faire preuve d'initiatives. Mobile géographiquement Français courant Age : plus de 27 ans",Français,"La société TOPCLASS EXPRESSO a été fondée en 1994 avec comme vocation de lancer la distribution des produits des cafés italiens « Lavazza Espresso ». Notre société a été pionnière sur le marché marocain en termes de distribution de café pré-dosé en capsule et de machine à café « EXPRESSO’ ». Ce système a révolutionné le secteur du café au Maroc. Durant toutes ces années TOPCLASS a pu se positionner en tant que leader sur le marché du café aussi bien sur le segment CHR (hôtellerie, restauration, cafés, glaciers, club etc.…) que sur le segment OCS (Entreprises, offices, ministères, etc.…) les particuliers ont également une part importante dans le portefeuille client de TOPCLASS Le Groupe a rapidement enregistré une forte croissance qui lui a permis de se positionner en tant que leader sur le marché du café pré dosé. AFE LAVAZZA, Distributeur automatique et produit de table",CDI,Commerce / Distribution / Vente / Import-export,"Dans le cadre du renforcement de notre équipe, nous recrutons des commerciaux en B to B pour le grand casablanca -Rattaché(e)au responsable commercial. -Vous aurez en charge, sur votre secteur géographique, la gestion et le développement du portefeuille constitué des clients régionaux et nationaux. -Vous êtres garants du respect des règles en vigueur et menez à bien l'ensemble du processus commercial : de la prospection à la négociation finale",Junior (de 3 à 5 ans),BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

RH COM,Assistant (e) commercial,https://www.m-job.ma/offres-emploi/115041-assistant-e-commercial-4-casablanca,"Sens de la présentation et courtoisie Sens du relationnel Sens de l'organisation Aisance rédactionnelle, maîtrise de l'orthographe et connaissances des outils informatiques Bac professionnel gestion-administration Bac technologique STMG spécialité mercatique Titre professionnel Assistant commercial (niveau III) BTS Assistant de gestion PME-PMI BTS Management des unités commerciales DUT Gestion administrative et commerciale des organisations DUT Techniques de commercialisation",Français,Le Chemin de l'excellence,CDI,Commerce / Distribution / Vente / Import-export,"L'assistant(e) commercial(e) a un rôle d'interface entre les clients, la structure et les commerciaux. Il/elle effectue le traitement et le suivi commercial et administratif des commandes et des clients en collaboration avec les commerciaux et la direction commerciale. Il/elle communique à la clientèle les informations relatives à la vente : devis, facture, délais, informatiques techniques sur les produits ou les services. Il/elle est de plus en plus amené(e) à prospecter et vendre les produits ou services. Renseignement des clients sur les produits/services : il/elle renseigne et documente les clients sur les produits/services le plus souvent au téléphone mais aussi en face à face. Prise en compte de la demande des clients : il/elle traite les demandes en lien avec l'équipe commerciale, rédige les devis, communique les délais de livraison et assure la gestion des commandes. Il/elle est amené(e) à préparer des offres commerciales pour des clients. Assistance des commerciaux terrains : il/elle saisit les propositions commerciales, met à jour les dossiers avant les rencontres entre les commerciaux et les clients et assure le suivi des clients. Il/elle actualise les bases de données (tableau de prévisions des ventes, des commandes, etc.) afin de suivre les objectifs de la direction commerciale. Il/elle peut être amené(e) à prendre les rendez-vous et aide à la préparation des réunions et déplacements des commerciaux. Participation aux actions de promotion : il/elle est de plus en plus amené(e) à participer aux réunions commerciales (salons, relations commerciales, etc.) Suivi des éléments de paiement de commandes : il/elle reçoit et traite les factures et les transmet au service concerné (service financier, comptabilité, contentieux, etc.) Il/elle est en contact avec des clients et différents intervenants (clients, force de vente, responsable commercial, services financiers, achats, logistiques, etc.). Il/elle travaille dans un bureau. Il/elle travaille la majeure partie du temps par téléphone et sur ordinateur. Le cadre horaire est régulier mais il/elle peut être amené(e) à se déplacer sur des salons.",Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

Kavaa Global Services,Commercial(e) B to B,https://www.m-job.ma/offres-emploi/115018-commerciale-b-to-b-2-rabat,"Profil recherché Issu(e) d’une formation commerciale (Bac +3), vous avez une expérience réussie sur des missions de « business development » B to B ; Vous possédez idéalement une expérience dans les centres d’appels ; Vous avez un excellent niveau en langue française orale et écrite ; Vous avez de fortes connaissances en Commerce et Marketing (option B to B) ; Vous êtes à l’aise avec les usages des réseaux sociaux pour le commerce B to B ; Des connaissances en management des entreprises et en informatique sont souhaitables. Vous êtes motivé (e) par les résultats et avez le goût du challenge.",Français,"Kavaa Global Services accompagne depuis 2000 des centaines d’entreprises... Tous les dirigeants d’entreprise ou d’organisation rêvent de performance. Cette quête passe par des choix souvent cornéliens qui nécessitent souvent une appréciation externe et un regard d’expert... En offrant un ensemble complet de prestations, du traitement de l’information jusqu’à l’organisation et le management stratégique nous permettons à nos clients de se consacrer à ce qu’ils savent faire de mieux, leur métier...",CDI,Commerce / Distribution / Vente / Import-export,"Votre mission Au sein de nos bureaux au Maroc-Rabat, le/la Commercial(e) B to B aura pour objectif de prospecter et générer des leads sur les marchés français et francophones des PME/PMI et d’assurer le développement et l’animation du portefeuille des comptes clés de notre filiale en France-Paris « Kavaa ». Dans ce cadre, vous serez amené (e) à : Procéder à la réalisation de campagnes de prospection par e-mail puis téléphone auprès des PME pour proposer nos différents services ; Créer un portefeuille clients B to B, et ouvrir de nouveaux comptes ; Participer activement à la réflexion commerciale et stratégique de « Kavaa France » ; Développer de nouvelles opportunités de business avec nos clients ; Concevoir et rédiger des outils d’aide à la vente et des supports de communication ; Elaborer des dossiers de réponses aux appels d'offres ; Assurer le suivi commercial des comptes actifs.",Débutant (de 1 à 3 ans),BAC+3,A négocier,L'offre a été publiée il y a 1 semaine avant sur le site.,Commerce / Distribution / Vente / Import-export,Rabat

AXELLIANCES CONSULTING,Conseillers débutant en Assurances de personnes,https://www.m-job.ma/offres-emploi/114949-conseillers-debutant-en-assurances-de-personnes-3-mohammedia,Conseiller de clientèle débutant,Français,"Vous êtes débutant, vous avez un BAC+2 ou 3 dans les domaines : Commerce, Management ou Gestion des organisations, vous êtes assidue, rigoureux ; 2I COURTAGE France vous offre un poste de conseiller de clientèle débutant dans sa succursale au Maroc. Vous devez suivre une formation d’une semaine dans le domaine de l’assurances de personnes (Santé, prévoyances). A l’issu de cette formation, une évaluation est prévue : Les personnes retenues seront recrutées sous CDI avec un salaire attractif et avantages sociaux. Les autres, bénéficieront d’une attestation qui facilitera leurs insertions dans le monde professionnel.",CDI,Commerce / Distribution / Vente / Import-export,Débutant - fraichement diplômé,Fraichement diplômé,BAC+2,de 4000 dh à 6000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Mohammedia

Recrut CALL,Commerciaux expérimentés en CPF-Salaire de base de 5700 dhs,https://www.m-job.ma/offres-emploi/114940-commerciaux-experimentes-en-cpf-salaire-de-base-de-5700-dhs-casablanca,Excellent commercial Bon niveau en français Sens de la communication et l'écoute,Français,Pour le compte de notre client; Nous recrutons des commerciaux expérimentés en CPF sur la ville de Casablanca maîtrisant très bien la langue française pour l’émission d’appel. Nous vous assurons une formation sur le produit; les techniques de vente et de négociation gratuitement . Avantages : - Salaire de base fixe 5700 DH + Primes déplafonnées+ Avantages sociaux . - Contrat CDI - Week end off - Animation et challenges quotidiens Envoyez votre CV,CDI,Commerce / Distribution / Vente / Import-export,Téléconseillers expérimentés en CPF,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 2 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

Recrut CALL,TÉLÉCONSEILLERS FRANCOPHONES EXPÉRIMENTÉS en émission d'appel pour un grand groupe français pour les énérgies renouvelables,https://www.m-job.ma/offres-emploi/114909-teleconseillers-francophones-experimentes-en-emission-dappel-pour-un-grand-groupe-francais-pour-les-energies-renouvelables-casablanca,Téléconseillers francophones en émission d'appel,L'offre a été publiée il y a 3 semaines avant sur le site.,Pour le compte d'un grand groupe français; Nous recrutons des téléconseillers francophones expérimentés en émission d'appel de 6 mois mimum sur la ville de Casablanca maîtrisant très bien la langue française pour l’émission d’appel. Avantages : - Salaire de base fixe entre 5500 – 6700 DH + Primes intéréssantes+ Avantages sociaux . - Contrat CDI - Week end off - Animation et challenges quotidiens Envoyez votre CV,CDI,Commerce / Distribution / Vente / Import-export,Bon niveau en français Sens de la communication et l'écoute Expérience de 6 mois en émission d'appel,BAC,Français,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,Commerce,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Maroc

Groupe Robelbois,Assistante Commerciale,https://www.m-job.ma/offres-emploi/114869-assistante-commerciale-46-casablanca,"Rattaché au service commercial, vos principales missions consistent notamment à: Saisir des devis, bons de livraisons et factures en lien avec l’équipe commerciale. Suivre des livraisons jusqu'à réalisation complète. Collecter les commandes à saisir et vérifier du bon respect des procédures internes. Interargir avec l'équipe logistique. Epauler les commerciaux dans le suivi des comptes (suivi de situation, relances paiement...),",Arabe / Français,"Présent au Maroc depuis 1953, le Groupe Robelbois accompagne ses clients pour leur fournir les meilleurs solutions et produits dans le domaine du bois, de l'acier, du papier et des matériaux de construction. Pour faire face à la croissance de nos activités et nos nouveaux challenges nous sommes à la recherche de talents engagés et ambitieux.",CDI,Commerce / Distribution / Vente / Import-export,"Vous êtes rigoureux (se), autonome, avec un grand sens de l’organisation. Vous avez la capacité à gérer les multiples interactions. Vous êtes à l'aise avec les outils informatiques et aimez apprendre. En contact continu avec les clients, vous êtes soucieux (se) de la qualité de service aux clients.",Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans),BAC+2 / BAC+3 / BAC+4,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca / Mohammedia

Digital Core,Assistant Commercial,https://www.m-job.ma/offres-emploi/114868-assistant-commercial-25-casablanca,"De formation Bac+2 min avec une expérience Valorisante en tant que commercial entre 1 à 3 ans dans la vente de service. Un excellent niveau en communication Présentable ,efficace, responsable et impliqué(e). Bon sens commercial et de conviction. Maîtrise des techniques de vente. Capacités de représentation et d’argumentation. Sens de l’écoute, d’organisation et d’adaptation. Rigueur dans le traitement des demandes des prospects.",L'offre a été publiée il y a 3 semaines avant sur le site.,Nous recrutons un commercial terrain à Casablanca ayant une bonne connaissance du secteur DIGITAL.,Free Lance,Commerce / Distribution / Vente / Import-export,"Le candidat devrait avoir le plus grand focus sur les objectifs de vente à réaliser, Son travail sera principalement de commercialiser les services digitaux. Réaliser les objectifs de vente. Enrichir son portefeuille client à travers une prospection quotidienne.",BAC+2,Français,non défini,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Casablanca

Ritaj Bureau,Technicien en Menuiserie Aluminium et MDF,https://www.m-job.ma/offres-emploi/114867-technicien-en-menuiserie-aluminium-et-mdf-temara,"Nous cherchons un Technicien experimanté dans la menuiserie aluminium et MDF, creatif, serieu, ponctuel",Arabe,"Atelier spécialiser en menuiserie aluminium et MDF, cuisine moderne",Lettre d'Engagement,Commerce / Distribution / Vente / Import-export,poste bassé sur temara a guich oulad mtaa,Junior (de 3 à 5 ans),NIV BAC ET MOINS,de 2000 dh à 4000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Commerce / Distribution / Vente / Import-export,Temara

